dteday,yr,mnth,weekday,registered
2011-01-01,2011,January,Saturday,654
2011-01-02,2011,January,Sunday,670
2011-01-03,2011,January,Monday,1229
2011-01-04,2011,January,Tuesday,1454
2011-01-05,2011,January,Wednesday,1518
2011-01-06,2011,January,Thursday,1518
2011-01-07,2011,January,Friday,1362
2011-01-08,2011,January,Saturday,891
2011-01-09,2011,January,Sunday,768
2011-01-10,2011,January,Monday,1280
2011-01-11,2011,January,Tuesday,1220
2011-01-12,2011,January,Wednesday,1137
2011-01-13,2011,January,Thursday,1368
2011-01-14,2011,January,Friday,1367
2011-01-15,2011,January,Saturday,1026
2011-01-16,2011,January,Sunday,953
2011-01-17,2011,January,Monday,883
2011-01-18,2011,January,Tuesday,674
2011-01-19,2011,January,Wednesday,1572
2011-01-20,2011,January,Thursday,1844
2011-01-21,2011,January,Friday,1468
2011-01-22,2011,January,Saturday,888
2011-01-23,2011,January,Sunday,836
2011-01-24,2011,January,Monday,1330
2011-01-25,2011,January,Tuesday,1799
2011-01-26,2011,January,Wednesday,472
2011-01-27,2011,January,Thursday,416
2011-01-28,2011,January,Friday,1129
2011-01-29,2011,January,Saturday,975
2011-01-30,2011,January,Sunday,956
2011-01-31,2011,January,Monday,1459
2011-02-01,2011,February,Tuesday,1313
2011-02-02,2011,February,Wednesday,1454
2011-02-03,2011,February,Thursday,1489
2011-02-04,2011,February,Friday,1620
2011-02-05,2011,February,Saturday,905
2011-02-06,2011,February,Sunday,1269
2011-02-07,2011,February,Monday,1592
2011-02-08,2011,February,Tuesday,1466
2011-02-09,2011,February,Wednesday,1552
2011-02-10,2011,February,Thursday,1491
2011-02-11,2011,February,Friday,1597
2011-02-12,2011,February,Saturday,1184
2011-02-13,2011,February,Sunday,1192
2011-02-14,2011,February,Monday,1705
2011-02-15,2011,February,Tuesday,1675
2011-02-16,2011,February,Wednesday,1897
2011-02-17,2011,February,Thursday,2216
2011-02-18,2011,February,Friday,2348
2011-02-19,2011,February,Saturday,1103
2011-02-20,2011,February,Sunday,1173
2011-02-21,2011,February,Monday,912
2011-02-22,2011,February,Tuesday,1376
2011-02-23,2011,February,Wednesday,1778
2011-02-24,2011,February,Thursday,1707
2011-02-25,2011,February,Friday,1341
2011-02-26,2011,February,Saturday,1545
2011-02-27,2011,February,Sunday,1708
2011-02-28,2011,February,Monday,1365
2011-03-01,2011,March,Tuesday,1714
2011-03-02,2011,March,Wednesday,1903
2011-03-03,2011,March,Thursday,1562
2011-03-04,2011,March,Friday,1730
2011-03-05,2011,March,Saturday,1437
2011-03-06,2011,March,Sunday,491
2011-03-07,2011,March,Monday,1628
2011-03-08,2011,March,Tuesday,1817
2011-03-09,2011,March,Wednesday,1700
2011-03-10,2011,March,Thursday,577
2011-03-11,2011,March,Friday,1730
